model,n_observations,qlike,mse,rmse,mae,mean_forecast,mean_proxy,bias_volatility,forecast_std,max_forecast,p99_forecast,max_proxy,tail_reach,mz_intercept,mz_slope,mz_r2,r2_oos,key,qlike_rank,mse_rank
"GARCH(1,1)",1760.0,1.4900420475616696,27.906332134882327,5.28264442631551,1.60279746197611,1.5505052411629767,1.562121711665607,0.22909261437557427,3.79302594825784,69.22435818733342,18.073367094323274,134.27110623804282,0.5155566236611536,0.19138851403735266,0.8840558298275194,0.28851478267016395,0.28354874969115473,garch,3,1
"EGARCH(1,1)",1760.0,1.4715002379304998,28.710614968307237,5.358228715565176,1.503647136943885,1.307939829618558,1.562121711665607,0.1820091233421487,2.414451633810299,47.37099480190697,9.187126014880633,134.27110623804282,0.35280110612870946,-0.24850857384250138,1.3843376006342385,0.28665406718500364,0.2629000510795251,egarch,1,2
"GJR-GARCH(1,1,1)",1760.0,1.4745500639261173,28.71545847990577,5.358680665976073,1.602772796171384,1.6092112297654864,1.562121711665607,0.2213664507499653,4.520779296282042,90.72321405284063,16.002092359289385,134.27110623804282,0.6756719043634137,0.35424353709005724,0.7506026258290381,0.2954498863322662,0.26277570152603014,gjr_garch,2,3
LSTM (QLIKE),1760.0,1.6450469151050922,37.56165230751236,6.128756179479843,1.4882952797951863,0.9528778438117694,1.562121711665607,0.0881857772966933,0.772355986260784,4.4061455726623535,3.5514714074134837,134.27110623804282,0.03281529210648573,-0.3210322993526093,1.9762806148216119,0.05978184484765181,0.03566356806364179,lstm_qlike,4,4
LSTM (MSE),1760.0,1.6861542994400534,37.76522594339205,6.1453418085076486,1.4802675007266644,0.907520320977677,1.562121711665607,0.07221578139384544,0.7017599534083876,4.746713161468506,3.053886384963991,134.27110623804282,0.035351709645210526,-0.3796757522902512,2.139673811230969,0.05785079910379143,0.030437134677449462,lstm_mse,5,5
