,Calm Bull,COVID Crash,Recovery Rally,Rate-Hike Cycle,Post-Hike Normalisation,Full sample
"GARCH(1,1)",1.6495015727463787,609.2709203477536,5.390887991084471,13.957142798966753,16.493740714088027,27.906332134882327
"EGARCH(1,1)",1.503119279511556,653.2656352211554,6.288850172667596,13.728245292090161,15.078892616119447,28.710614968307237
"GJR-GARCH(1,1,1)",1.6057316664783206,650.3648901708953,6.216000525620682,14.786176696969866,14.93197648722303,28.71545847990577
LSTM (QLIKE),1.4241011435607684,955.1809368754032,4.972147144022946,12.545844902465522,16.883429822127987,37.56165230751236
LSTM (MSE),1.5311464308001992,963.9963386375999,4.935487082940437,12.880719777439326,16.641978434273692,37.76522594339205
