,"GARCH(1,1)","EGARCH(1,1)","GJR-GARCH(1,1,1)",LSTM (QLIKE),LSTM (MSE)
"GARCH(1,1)",,0.45111732077644007,0.4254998485749064,0.11035518808118239,0.07422664980528904
"EGARCH(1,1)",0.45111732077644007,,0.7627946255413249,0.0564100206040139,0.03957650131713075
"GJR-GARCH(1,1,1)",0.4254998485749064,0.7627946255413249,,0.07475893516674903,0.05215449414812601
LSTM (QLIKE),0.11035518808118239,0.0564100206040139,0.07475893516674903,,0.1269757946030332
LSTM (MSE),0.07422664980528904,0.03957650131713075,0.05215449414812601,0.1269757946030332,
