model,target_date,forecast_full_dataset,forecast_truncated_dataset,absolute_difference
garch,2019-01-02,3.3983933127251134,3.3983933127251134,0.0
garch,2020-09-29,2.0792061063372507,2.0792061063372507,0.0
garch,2022-06-29,3.5467773098225046,3.5467773098225046,0.0
garch,2024-04-01,0.36916070569550036,0.36916070569550036,0.0
garch,2025-12-31,0.36965136521869246,0.36965136521869246,0.0
egarch,2019-01-02,1.6972493053174773,1.6972493053174773,0.0
egarch,2020-09-29,1.7327762463633223,1.7327762463633223,0.0
egarch,2022-06-29,2.97588052825298,2.97588052825298,0.0
egarch,2024-04-01,0.35987539802335494,0.35987539802335494,0.0
egarch,2025-12-31,0.44584982623733244,0.44584982623733244,0.0
gjr_garch,2019-01-02,2.3977779618306965,2.3977779618306965,0.0
gjr_garch,2020-09-29,1.8941978987766235,1.8941978987766235,0.0
gjr_garch,2022-06-29,3.564620511503753,3.564620511503753,0.0
gjr_garch,2024-04-01,0.3090760356497827,0.3090760356497827,0.0
gjr_garch,2025-12-31,0.38469694116769065,0.38469694116769065,0.0
lstm_qlike,2019-01-02,1.9825425148010254,1.9825425148010254,0.0
lstm_qlike,2025-12-31,0.3178882896900177,0.3178882896900177,0.0
lstm_mse,2019-01-02,3.8722586631774902,3.8722586631774902,0.0
lstm_mse,2025-12-31,0.2028047889471054,0.2028047889471054,0.0
