regime,n_days,start,end,annualised_vol_pct,mean_abs_return_pct,worst_day_pct
Calm Bull,285,2019-01-02,2020-02-19,12.50779427846214,0.5690734063852967,-3.0513838006794636
COVID Crash,50,2020-02-20,2020-04-30,66.10067426451756,3.2317837627637065,-11.587540991860301
Recovery Rally,422,2020-05-01,2021-12-31,15.824776637415365,0.7435613004570748,-5.937318281878667
Rate-Hike Cycle,251,2022-01-03,2022-12-30,24.243888478603896,1.2002844269089303,-4.445759652596948
Post-Hike Normalisation,752,2023-01-03,2025-12-31,15.323307599621549,0.6603842279190343,-6.031881123595806
