,"GARCH(1,1)","EGARCH(1,1)","GJR-GARCH(1,1,1)",LSTM (QLIKE),LSTM (MSE)
"GARCH(1,1)",,0.753721540420684,0.7971011807542242,-1.5974044765580868,-1.7862767430244737
"EGARCH(1,1)",-0.753721540420684,,-0.30185980046784994,-1.909113488732451,-2.0596747420414667
"GJR-GARCH(1,1,1)",-0.7971011807542242,0.30185980046784994,,-1.782998566640878,-1.9431739075358303
LSTM (QLIKE),1.5974044765580868,1.909113488732451,1.782998566640878,,-1.5268592576905506
LSTM (MSE),1.7862767430244737,2.0596747420414667,1.9431739075358303,1.5268592576905506,
