regime,model,n_observations,qlike,mse,rmse,mae,mean_forecast,mean_proxy,bias_volatility,forecast_std,max_forecast,p99_forecast,max_proxy,tail_reach,mz_intercept,mz_slope,mz_r2,r2_oos
Calm Bull,"GARCH(1,1)",285.0,1.5003405328951454,1.6495015727463787,1.284329230667269,0.6951029338992042,0.6974663591200538,0.62081316552512,0.20921455695194746,0.6392242436530073,4.635955941137825,3.3845878539800007,10.862391516453972,0.4267896194052148,0.1869392894326037,0.6220714023252755,0.09039709199431989,0.053660942668359746
Calm Bull,"EGARCH(1,1)",285.0,1.4126820389758916,1.503119279511556,1.226017650570968,0.620476661830051,0.600049674075574,0.62081316552512,0.15155686893161724,0.5189540240049928,3.224081449286092,2.4854323170632435,10.862391516453972,0.2968113830552292,0.05209098148425293,0.9477918389290528,0.1383092442065409,0.1376422396120428
Calm Bull,"GJR-GARCH(1,1,1)",285.0,1.4419807130686397,1.6057316664783206,1.2671746787551905,0.6762984399494749,0.6824564852563249,0.62081316552512,0.1882342426469753,0.6790795328632132,4.202708469930109,3.317714557265787,10.862391516453972,0.3869045286725297,0.17480804370304126,0.6535290255972332,0.11260004267005796,0.07877226873290133
Calm Bull,LSTM (QLIKE),285.0,1.3691640252907957,1.4241011435607684,1.1933570897098522,0.5922190109115952,0.572664356806822,0.62081316552512,0.13530360459091806,0.461653152322454,2.086648464202881,1.9945237159729023,10.862391516453972,0.19209843992845393,-0.09864114581311013,1.2563280790687055,0.1923114995952514,0.18297590253378726
Calm Bull,LSTM (MSE),285.0,1.4209569297030875,1.5311464308001992,1.2373950180925246,0.619687574433288,0.6189479904478057,0.62081316552512,0.12915614391168673,0.7288526244048886,4.746713161468506,3.7862430095672632,10.862391516453972,0.4369860130965037,0.18746385949698732,0.7001384812875904,0.14887262662783174,0.121562723006293
COVID Crash,"GARCH(1,1)",50.0,1.5495838999248206,609.2709203477536,24.683413871418875,15.060481526235124,15.31352051379809,17.338488643745453,0.2452627304385797,15.47529171686626,69.22435818733342,62.66672221431238,134.27110623804282,0.5155566236611536,5.676636450537501,0.761539593896789,0.1869805587828145,0.1630140592814362
COVID Crash,"EGARCH(1,1)",50.0,1.6351416579620746,653.2656352211554,25.5590617046314,13.37815562006677,8.705585143171058,17.338488643745453,-0.6415843787300721,9.915945759798158,47.37099480190697,41.70874166215788,134.27110623804282,0.35280110612870946,6.2461540214398665,1.2741630160273334,0.21490774315960082,0.10257631872105999
COVID Crash,"GJR-GARCH(1,1,1)",50.0,1.3722638065402588,650.3648901708953,25.502252648950353,15.189377860564452,16.68469130769889,17.338488643745453,0.26022429725747553,20.274059867057304,90.72321405284063,79.69832785606773,134.27110623804282,0.6756719043634137,7.380822333326158,0.5968145365581015,0.19710335778327703,0.10656121729998924
COVID Crash,LSTM (QLIKE),50.0,7.072063282882952,955.1809368754032,30.906001631971147,16.125354603649438,1.6830006742477417,17.338488643745453,-1.9775851510301397,0.8470215259198196,3.0673375129699707,3.0640914106369017,134.27110623804282,0.0228443601822423,-4.864179900845526,13.192311140644676,0.16809873857911384,-0.31217983380986425
COVID Crash,LSTM (MSE),50.0,8.116342676064695,963.9963386375999,31.04829043019277,16.25533554612399,1.4888475722074508,17.338488643745453,-2.048635030577986,0.7123684486745636,2.6712424755096436,2.6268002200126648,134.27110623804282,0.0198943953792555,-6.082441959444718,15.730912311234762,0.16906393018049515,-0.32428999218166554
Recovery Rally,"GARCH(1,1)",422.0,1.385207679025199,5.390887991084471,2.3218285877911984,1.0287334908729093,1.0605316471945088,0.9937442683495521,0.21027755097015677,1.0056331162665295,10.275828685664806,4.382254997679553,35.25174838033065,0.2914984123567156,0.6111157256536431,0.36078936796285155,0.02572264325386031,-0.05589239796112122
Recovery Rally,"EGARCH(1,1)",422.0,1.471824851258364,6.288850172667596,2.507757997229317,1.060535741107158,1.1023798571635355,0.9937442683495521,0.2064477345449076,1.4141591375361189,18.514376687383564,5.946681419200647,35.25174838033065,0.5252044944730739,0.766211351867346,0.20640155478498715,0.01664759479597211,-0.23177278033194249
