,Calm Bull,COVID Crash,Recovery Rally,Rate-Hike Cycle,Post-Hike Normalisation,Full sample
"GARCH(1,1)",1.5003405328951454,1.5495838999248206,1.385207679025199,1.4110162259096537,1.567387026044181,1.4900420475616696
"EGARCH(1,1)",1.4126820389758916,1.6351416579620746,1.471824851258364,1.3893223300043194,1.510158195065603,1.4715002379304998
"GJR-GARCH(1,1,1)",1.4419807130686397,1.3722638065402588,1.4502354293321078,1.4295975427150027,1.522343197551564,1.4745500639261173
LSTM (QLIKE),1.3691640252907957,7.072063282882952,1.4709521710329052,1.3064113288174666,1.5994901589413135,1.6450469151050922
LSTM (MSE),1.4209569297030875,8.116342676064695,1.4680046069221453,1.3640366599385703,1.5890565990427572,1.6861542994400534
