cadence,model,n_refits,qlike,benchmark_qlike,dm_statistic,p_value,favoured,total_seconds
21,LSTM (QLIKE),84,1.5957367722604427,1.4900420475616696,1.0086515328262335,0.3132805101798848,"GARCH(1,1)",242.0
21,LSTM (MSE),84,2.869600411561024,1.4900420475616696,1.3792943178422339,0.1679793605015525,"GARCH(1,1)",251.6
63,LSTM (QLIKE),28,1.5870575811376557,1.4900420475616696,1.0750981301112812,0.2824782405408839,"GARCH(1,1)",82.5
63,LSTM (MSE),28,1.6420600570421666,1.4900420475616696,1.4468229249798592,0.14812469747420898,"GARCH(1,1)",103.1
126,LSTM (QLIKE),14,1.6450469151050922,1.4900420475616696,1.5974044765580868,0.11035518808118239,"GARCH(1,1)",45.5
126,LSTM (MSE),14,1.6861542994400534,1.4900420475616696,1.7862767430244737,0.07422664980528904,"GARCH(1,1)",48.3
252,LSTM (QLIKE),7,1.6508121840377374,1.4900420475616696,1.634580264503325,0.10231600237992056,"GARCH(1,1)",21.7
252,LSTM (MSE),7,1.662546513675323,1.4900420475616696,1.6202861097798509,0.10535007417690312,"GARCH(1,1)",21.4
